PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015700.000000 (2014-01-14 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102700.000000 (2014-01-16 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:29:01 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:29:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-16_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-16 02:03:36 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-17 01:24:15 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-16_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-24 07:27:32 by rl02              
END OF HEADER                                                                   
443015700 B 4 -0.008731132470766229 1.004695054736834e-10 -1.557494307959121e-08 2.540803833401996e-11  00000010
443015700 B 4 -0.008731132470766229 1.004695054736834e-10 -1.557494307959121e-08 2.540803833401996e-11  00000000
443016000 B 4 -0.008735804643381154 1.002360106070447e-10 -1.557494307959121e-08 2.540803833401996e-11  00000000
443016300 B 4 -0.008740476941055141 9.96022388261682e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443016600 B 4 -0.008745149443305907 9.906853627385117e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443016900 B 4 -0.008749821977748077 9.903517986433134e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443017200 B 4 -0.008754494593613068 9.87016157691332e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443017500 B 4 -0.008759166892548933 9.890175422625209e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443017800 B 4 -0.008763838813660118 9.856819013105394e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443018100 B 4 -0.008768510356109668 9.833469526441522e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443018400 B 4 -0.008773181783468557 9.860154654057375e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443018700 B 4 -0.00877785342076173 9.823462603585579e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443019000 B 4 -0.008782525152997916 9.873497217865301e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443019300 B 4 -0.008787197050490862 9.813455680729634e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443019600 B 4 -0.008791869005106905 9.80344875787369e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443019900 B 4 -0.008796540981368435 9.806784398825671e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443020200 B 4 -0.008801212868874494 9.780099271209818e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443020500 B 4 -0.008805884744374369 9.723393375026133e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443020800 B 4 -0.00881055666432376 9.67669440169839e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443021100 B 4 -0.008815228608271625 9.606645941706779e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443021400 B 4 -0.008819900588499466 9.559946968379039e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443021700 B 4 -0.008824572764362817 9.439863894107703e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443022000 B 4 -0.008829245033318594 9.356472870308165e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443022300 B 4 -0.008833917448438859 9.243061077940793e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443022600 B 4 -0.008838590020887488 9.226382873180886e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443022900 B 4 -0.008843262516165551 9.236389796036831e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443023200 B 4 -0.008847934703167859 9.152998772237293e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443023500 B 4 -0.008852606528306431 9.152998772237293e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443023800 B 4 -0.008857278112398517 9.163005695093237e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443024100 B 4 -0.008861949773256288 9.183019540805126e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443024400 B 4 -0.008866621546643284 9.216375950324942e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443024700 B 4 -0.008871293474787594 9.176348258901163e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443025000 B 4 -0.008875965477371328 9.159670054141256e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443025300 B 4 -0.008880637581303412 9.183019540805126e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
