PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipKBR1BF            : 7                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 47                                              
SOFTWARE VERSION              : $Id: KBR_compress.c 1.76 06/11/09 17:35:59 gl $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:17 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A+B                                       
SENSOR NAME                   : IPU 1+1                                         
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016000.000000 (2014-01-15 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102395.000000 (2014-01-15 23:59:55.00)       
NUMBER OF DATA RECORDS        : 17145                                           
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:32:56 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:33:03 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : KBR1A_A_0<-KBR1A_2014-01-15_A_02.dat            
INPUT FILE TIME TAG (UTC)     : KBR1A_A_0<-2014-01-16 04:30:42 by rl02          
INPUT FILE NAME               : KBR1A_B_0<-KBR1A_2014-01-15_B_02.dat            
INPUT FILE TIME TAG (UTC)     : KBR1A_B_0<-2014-01-16 02:01:04 by rl02          
INPUT FILE NAME               : KBR1A_A_1<-KBR1B_2014-01-15_A_02.dat            
INPUT FILE TIME TAG (UTC)     : KBR1A_A_1<-2014-01-24 08:32:54 by rl02          
INPUT FILE SOFTWARE VERSION   : KBR1A_A_1<-ebreak.c 1.49 06/11/09 17:35:59      
INPUT FILE LINKTIME TAG       : KBR1A_A_1<-08-31 10:49:18 rl02  g3              
INPUT FILE NAME               : KBR1A_B_1<-KBR1B_2014-01-15_B_02.dat            
INPUT FILE TIME TAG (UTC)     : KBR1A_B_1<-2014-01-24 08:32:55 by rl02          
INPUT FILE SOFTWARE VERSION   : KBR1A_B_1<-ebreak.c 1.49 06/11/09 17:35:59      
INPUT FILE LINKTIME TAG       : KBR1A_B_1<-08-31 10:49:18 rl02  g3              
INPUT FILE NAME               : KBR1A_A_2<-KBR1B_2014-01-15_A_02.dat.ord        
INPUT FILE TIME TAG (UTC)     : KBR1A_A_2<-2014-01-24 08:32:56 by rl02          
INPUT FILE SOFTWARE VERSION   : KBR1A_A_2<-KBR_order.c   1.17 06/11/09 17:36:00 
INPUT FILE LINKTIME TAG       : KBR1A_A_2<-2012-08-31 10:49:18 rl02  g3         
INPUT FILE NAME               : KBR1A_B_2<-KBR1B_2014-01-15_A_02.dat.ord        
INPUT FILE TIME TAG (UTC)     : KBR1A_B_2<-2014-01-24 08:32:56 by rl02          
INPUT FILE SOFTWARE VERSION   : KBR1A_B_2<-KBR_order.c   1.17 06/11/09 17:36:00 
INPUT FILE LINKTIME TAG       : KBR1A_B_2<-2012-08-31 10:49:18 rl02  g3         
INPUT FILE NAME               : PCI1A_A<-PCI1A_2014-01-15_A_02.dat              
INPUT FILE TIME TAG (UTC)     : PCI1A_A<-2014-01-24 08:25:14 by rl02            
INPUT FILE NAME               : PCI1A_B<-PCI1A_2014-01-15_B_02.dat              
INPUT FILE TIME TAG (UTC)     : PCI1A_B<-2014-01-24 08:31:02 by rl02            
INPUT FILE NAME               : USO1B_A<-USO1B_2014-01-15_A_02.dat              
INPUT FILE TIME TAG (UTC)     : USO1B_A<-2014-01-24 08:25:10 by rl02            
INPUT FILE NAME               : USO1B_B<-USO1B_2014-01-15_B_02.dat              
INPUT FILE TIME TAG (UTC)     : USO1B_B<-2014-01-24 08:31:00 by rl02            
END OF HEADER                                                                   
443016000 -380081.6446925415 -1.796006382089173 -0.0002249130568380207 -444293.207819541 -0.0008512369508020948 -8.741140395752777e-08 1.508610760563896e-09 2.889494647592568 8.218266881794266e-07 1.508707001541049e-07 644 658 659 677  00000000
443016005 -380090.6274638429 -1.79708777862616 -0.0002076465708733228 -444293.2078301708 -0.0008516553529799486 -8.001272343961554e-08 1.442265059522737e-09 2.889496270578531 -4.915604570366374e-07 -1.774188917616951e-07 632 631 659 677  00000000
443016010 -380099.6154244899 -1.798081561017165 -0.0001897921937117152 -444293.2078394042 -0.0008520374353284675 -7.28106356288481e-08 1.448662487919449e-09 2.889495580102621 5.009683299542931e-07 1.068516944468908e-07 632 631 639 641  00000000
443016015 -380108.6081318393 -1.798986983012648 -0.0001724587879434823 -444293.2078509811 -0.0008523833685297263 -6.556514359927737e-08 1.447267393435026e-09 2.889495461481518 -8.496646085913304e-07 -1.938136881605032e-07 652 669 639 641  00000000
443016020 -380117.6051488722 -1.799805006151153 -0.0001547309716881315 -444293.2078688063 -0.0008526931003232372 -5.832630065372098e-08 1.448422709543635e-09 2.889493033360025 3.439443259635647e-07 3.03656836531585e-07 652 669 665 699  00000000
443016025 -380126.6060359739 -1.800535463404186 -0.0001374353733264125 -444293.2078876081 -0.000852966626950327 -5.108456393625745e-08 1.448212194442695e-09 2.88949555097471 2.706400400173294e-07 -1.245712046599994e-07 629 630 665 699  00000000
443016030 -380135.610357665 -1.801178522698629 -0.0001198457918321075 -444293.2079070715 -0.000853203948627827 -4.384449391465147e-08 1.447748127353792e-09 2.889496364825328 1.593368972001477e-07 -9.982478803484366e-12 629 630 637 638  00000000
443016035 -380144.6176768739 -1.801734870373717 -0.0001026676403785297 -444293.2079255292 -0.000853405077308791 -3.660764885777454e-08 1.446944070223171e-09 2.889497571100644 4.535377244194303e-07 1.102946897474565e-07 634 630 637 638  00000000
443016040 -380153.6275621819 -1.802204837896974 -8.538832793095564e-05 -444293.2079441848 -0.0008535700333110355 -2.937576821121474e-08 1.445759638353122e-09 2.889499506978544 -6.86675962059765e-08 -2.81952772558536e-07 634 630 642 642  00000000
443016045 -380162.6395827133 -1.802589112512625 -6.827008986809385e-05 -444293.2079631598 -0.0008536988424117866 -2.214823253694119e-08 1.445046627324085e-09 2.889497489964103 -2.087287354089078e-07 2.815573222615625e-07 639 640 642 642  00000000
443016050 -380171.6533102028 -1.80288767839588 -5.121371245263768e-05 -444293.2079822347 -0.0008537915412981811 -1.493495868147107e-08 1.441890446884902e-09 2.889499830930423 8.234975845447647e-07 -6.229683854223434e-08 639 640 644 653  00000000
443016055 -380180.6683179283 -1.803101239016478 -3.421954978350966e-05 -444293.2080007715 -0.0008538481433583602 -7.700890006133736e-09 1.444024195030405e-09 2.889501689942677 -7.403145442685179e-08 -7.019761950164589e-08 643 645 644 653  00000000
443016060 -380189.6841812822 -1.803229925685035 -1.720442551055484e-05 -444293.2080178607 -0.0008538688435289727 -6.292422625783176e-10 1.391152115544934e-09 2.889501800063613 1.84757068630557e-07 1.820014923584748e-08 643 645 649 662  00000000
443016065 -380198.7004751751 -1.803273600207078 -3.461011425008177e-07 -444293.2080307024 -0.0008538544353442545 6.442562000252161e-09 1.443996334221162e-09 2.889502284691141 -1.476883634519314e-08 -1.519211802444513e-08 650 657 649 662  00000000
443016070 -380207.7167765633 -1.803232604381004 1.683358545059641e-05 -444293.2080438713 -0.0008538041266737932 1.36756494518306e-08 1.441531821420713e-09 2.889502735377807 3.116722253239135e-07 1.094799303024026e-07 650 657 660 678  00000000
443016075 -380216.732658417 -1.803106091605616 3.373515399234461e-05 -444293.2080557234 -0.0008537177300530806 2.088637840026948e-08 1.444377990302413e-09 2.88950479885799 2.900568625586417e-07 -1.242588208030712e-07 644 645 660 678  00000000
443016080 -380225.7476954333 -1.80289427748725 5.102687197393533e-05 -444293.2080642845 -0.0008535952400345426 2.810969354869191e-08 1.444736144802387e-09 2.889505012248775 -7.137261608980048e-08 1.175028098747344e-08 644 645 651 658  00000000
443016085 -380234.7614575519 -1.802596349266406 6.810435622724791e-05 -444293.2080684818 -0.0008534366287552911 3.533551700055085e-08 1.445539754591735e-09 2.889505249630699 2.176246848492875e-07 5.920546318729369e-08 649 651 651 658  00000000
443016090 -380243.7735166358 -1.802212913307278 8.534518463425147e-05 -444293.2080719643 -0.0008532418799651455 4.256432838748344e-08 1.445934655863489e-09 2.889506013631133 -7.787483811053761e-08 -9.036024890815704e-08 649 651 656 670  00000000
443016095 -380252.7834422131 -1.801742963515939 0.0001025837330363379 -444293.2080777109 -0.0008530109835595816 4.979426226881724e-08 1.44596859978224e-09 2.889506182479662 3.646714780327429e-07 1.109213082838787e-07 638 631 656 670  00000000
443016100 -380261.7908023946 -1.801186524731264 0.0001200594919722668 -444293.2080865163 -0.0008527439383859522 5.702362914943396e-08 1.445714040826734e-09 2.889507262992669 -1.834850918989624e-07 -1.370754199636414e-07 638 631 637 638  00000000
443016105 -380270.7951620175 -1.800543005402033 0.000137262164943101 -444293.2080963246 -0.0008524407552871382 6.424806131185999e-08 1.44418603376879e-09 2.889506522347482 9.36490510346316e-08 8.030129776619103e-08 652 650 637 638  00000000
443016110 -380279.796089599 -1.79981355985106 0.000154620413198201 -444293.2081081777 -0.0008521014501869054 7.147571224200135e-08 1.444843301380678e-09 2.889507037984985 7.382988533812302e-08 3.477184559302563e-08 652 650 655 670  00000000
443016115 -380288.793151522 -1.798996700064933 0.0001720264701384505 -444293.2081260297 -0.0008517260838279779 7.866184907055241e-08 1.438586357420566e-09 2.889508199892858 3.185067800602351e-07 -3.652436653846837e-08 652 642 655 670  00000000
443016120 -380297.7859129679 -1.798093455562585 0.0001893209655593302 -444293.2081476726 -0.0008513145199415173 8.601906545376776e-08 1.496529411309874e-09 2.889508809857326 -8.20542703301303e-08 -5.795034924828979e-08 652 642 648 657  00000000
443016125 -380306.7739421708 -1.797103976899213 0.0002064629971958168 -444293.2081721124 -0.0008508659323945249 9.335284393165672e-08 1.429292966584774e-09 2.889507785097591 -3.516778872742583e-07 -7.020294321580287e-08 659 655 648 657  00000000
443016130 -380315.7568081426 -1.79602776587249 0.0002239715735385408 -444293.2082002644 -0.0008503813789481683 1.004700334294681e-07 1.426564839960223e-09 2.889506111264323 -1.489864299896369e-08 2.489063502523731e-07 659 655 655 674  00000000
443016135 -380324.7340773394 -1.7948659648198 0.000240775536234588 -444293.2082301977 -0.0008498612210700216 1.075839642202444e-07 1.417005385895736e-09 2.88950827589773 4.722139416254491e-07 -1.747952265444297e-07 647 639 655 674  00000000
443016140 -380333.7053251814 -1.793618692931649 0.000258100182871339 -444293.2082628877 -0.0008493056203135023 1.14650623869203e-07 1.409817809554825e-09 2.88950832098484 -2.459055241768414e-07 2.148127222786603e-08 647 639 649 656  00000000
443016145 -380342.6701222847 -1.792286213221661 0.000274852189940641 -444293.2082932718 -0.0008487147785766893 1.216791692207512e-07 1.401577516666745e-09 2.889507882603788 4.795027156956843e-08 1.346239136040071e-08 662 662 649 656  00000000
443016150 -380351.6280474031 -1.790869711984433 0.0002917831479873343 -444293.2083205638 -0.0008480888972878557 1.286664625605803e-07 1.393317863920532e-09 2.889507696359639 -2.012820017226006e-07 -7.071805021198602e-08 662 662 660 685  00000000
443016155 -380360.5786786556 -1.789368911334113 0.0003084425153767214 -444293.2083449042 -0.0008474281831561488 1.356122645699869e-07 1.38500818863413e-09 2.889506508749165 -1.27226625584863e-07 7.962114563376489e-08 672 669 660 685  00000100
443016160 -380369.5215990469 -1.787785457246167 0.0003249894805306747 -444293.2083674275 -0.0008467328440804558 1.425163601122815e-07 1.376638159419284e-09 2.889506290332787 -9.828839904998416e-08 -5.677636334401547e-08 672 669 666 692  00000100
443016165 -380378.456394919 -1.786119219925716 0.0003413878892740864 -444293.2083884424 -0.000846003085287238 1.493811314863256e-07 1.369118242515568e-09 2.889505555540981 -1.027356351491362e-07 2.869956899363417e-08 650 635 666 692  00000000
443016170 -380387.3826563543 -1.784371729892767 0.0003577442292204409 -444293.2084088696 -0.0008452391141686286 1.561982432867813e-07 1.359477998599116e-09 2.889504939588034 -1.843346751393512e-07 -3.714456424233557e-09 650 635 640 645  00000000
443016175 -380396.2999746173 -1.782542150119303 0.0003738595150506526 -444293.2084283608 -0.0008444411041181417 1.630059232110802e-07 1.355695953576807e-09 2.88950445709418 -9.146502794715404e-09 -7.207578851054719e-09 656 640 640 645  00000000
