PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016017.460885 (2014-01-15 00:00:17.46)       
TIME LAST OBS(SEC PAST EPOCH) : 443102360.986026 (2014-01-15 23:59:20.98)       
NUMBER OF DATA RECORDS        : 2699                                            
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:25:11 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:25:11 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2014-01-16 04:32:29 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2014-01-16 04:32:29 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2014-01-24 08:23:15 by rl02              
END OF HEADER                                                                   
443016017 460885 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443016077 460875 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443016127 160867 G A  00000000 00110011 464.3773595815986 0.3990748442575665 4.350896073289995 4.756163508308597
443016137 460865 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443016165 160860 G A  00000000 00110011 464.3773285552764 0.8974765627551121 4.350887095731379 4.756141459544996
443016168 160860 G A  00000000 00110011 464.3773483660935 0.8334633777335357 4.350891030353841 4.756157335739673
443016186 160857 G A  00000000 00110011 464.3773214374406 0.8262766313216994 4.350883710439664 4.756137727000943
443016197 460855 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443016235 160848 G A  00000000 00110011 464.3772936892418 0.8405169846796914 4.350876058994945 4.756117630246783
443016238 160848 G A  00000000 00110011 464.3772939288903 0.3972425685116007 4.350872284735784 4.756121644154436
443016252 160846 G A  00000000 00110011 464.3772868110439 1.459741039014516 4.350868899439595 4.756117911604247
443016257 460845 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443016317 460835 G A  00000000 11001100 465.2372146044367 0 4.893865749146097 5.073048855290587
443016365 160827 G A  00000000 00110011 464.3772590628254 0.84051758645205 4.350861247992356 4.75609781483302
443016377 460825 G A  00000000 11001100 465.2371196133973 0 4.896392110311522 5.070427503085772
443016419 160818 G A  00000000 00110011 464.3772336571694 0.6414421766621148 4.350850970570725 4.7560826865986
443016437 460815 G A  00000000 11001100 465.2371196133973 0 4.896392110311522 5.070427503085772
443016497 460805 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443016557 460794 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443016617 460784 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443016677 460774 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443016737 460764 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443016797 460754 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443016857 460744 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443016917 460734 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443016977 460724 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443017037 460714 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443017097 460704 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443017157 460694 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443017186 160689 G A  00000000 00110011 464.3772532283527 0.6362212508638887 4.350858679455431 4.756094548897232
443017200 160687 G A  00000000 00110011 464.3772741042893 0.6653028363694451 4.350866902268848 4.756107202020385
443017215 160684 G A  00000000 00110011 464.3772956326072 0.6798437295009441 4.350875382048493 4.75612025055865
443017217 460684 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443017222 160683 G A  00000000 00110011 464.3773184656808 0.7089253695637363 4.35088437575785 4.756134089922953
443017227 160682 G A  00000000 00110011 464.3773419511379 0.723466308022244 4.350893626434278 4.756148324703632
443017228 160682 G A  00000000 00110011 464.3773667413536 0.7525480075870364 4.350903391041516 4.756163350312009
443017235 160681 G A  00000000 00110011 464.3773928363294 0.7816297453913417 4.350913669580262 4.756179166749157
443017244 160679 G A  00000000 00110011 464.3774489405696 1.450505171640676 4.350935768455297 4.756213172114284
443017254 160678 G A  00000000 00110011 464.3774796022134 0.8834159811589368 4.350947845757112 4.75623175645631
443017263 160676 G A  00000000 00110011 464.3775115686263 0.912497908018074 4.350960436993926 4.756251131632365
443017274 160674 G A  00000000 00110011 464.3775448398105 0.9415798839952059 4.350973542166649 4.756271297643822
443017277 460674 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443017281 160673 G A  00000000 00110011 464.3775803077951 1.182445569167447 4.350983643976516 4.756296663818529
443017327 160665 G A  00000000 00110011 464.3776174932839 1.028825619080783 4.350998290953264 4.756319202330627
443017337 460664 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443017348 160662 G A  00000000 00110011 464.3776559835533 1.0579077935078 4.351013451869587 4.756342531683669
443017391 160655 G A  00000000 00110011 464.3776957786059 1.08699002694234 4.351029126726573 4.756366651879302
443017397 460654 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443017457 460644 G A  00000000 11001100 465.2345932522319 0 4.893865749146097 5.070427503085772
443017517 460634 G A  00000000 11001100 465.2379925640703 0 4.893865749146097 5.073826814924209
443017568 160625 G A  00000000 00110011 464.3776564407985 0.8835237505954319 4.351013213292585 4.756343227505959
443017577 460623 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443017597 160620 G A  00000000 00110011 464.3776146443552 0.9262444143080018 4.350996305259727 4.756318339095473
443017606 160619 G A  00000000 00110011 464.3775712088105 0.9547250510492989 4.350978734156653 4.756292474653798
443017610 160618 G A  00000000 00110011 464.3775253146221 0.9974458545609464 4.35096016845166 4.756265146170443
443017622 160616 G A  00000000 00110011 464.3774261502959 1.923055066560386 4.350920053228416 4.756206097067445
443017628 160615 G A  00000000 00110011 464.377372880148 1.125608790951687 4.350898503706171 4.756174376441849
443017637 460613 G A  00000000 11001100 465.2371196133973 0 4.896392110311522 5.070427503085772
443017649 160611 G A  00000000 00110011 464.3773171513367 1.16832995988855 4.350875959574029 4.756141191762642
443017653 160611 G A  00000000 00110011 464.3772581443139 1.225291401394121 4.350852089297998 4.756106055015906
443017661 160609 G A  00000000 00110011 464.3771966786148 1.268012804869933 4.350827224406929 4.756069454207897
443017681 160606 G A  00000000 00110011 464.3771319346896 1.324974517886109 4.350801033366054 4.756030901323517
443017697 460603 G A  00000000 11001100 465.2345932522319 0 4.893865749146097 5.070427503085772
443017701 160603 G A  00000000 00110011 464.3770639125295 1.381936390012451 4.350773516171888 4.755990396357572
443017757 460593 G A  00000000 11001100 465.2345932522319 0 4.893865749146097 5.070427503085772
443017781 160589 G A  00000000 00110011 464.3769942512159 1.410417977453498 4.350745335886643 4.755948915329289
443017817 460583 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443017877 460573 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443017937 460563 G A  00000000 11001100 465.2405189252357 0 4.896392110311522 5.073826814924209
