PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipSCA1BF            : 6                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: SCA_compress.c 1.112 06/11/09 17:36:18 g $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:20 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 4                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016000.000000 (2014-01-15 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102395.000000 (2014-01-15 23:59:55.00)       
NUMBER OF DATA RECORDS        : 17189                                           
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:25:13 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:25:14 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : SCA1A<-SCA1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : SCA1A<-2014-01-16 04:30:43 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2014-01-24 08:23:15 by rl02              
END OF HEADER                                                                   
443016000 A 2 0.3348576490933386 -0.3928345831077847 0.1415714496710576 0.8446945423028673 7.935585118606337e-05 00001000
443016005 A 2 0.3352668351543096 -0.390395954878099 0.1406369603264289 0.8458181796642662 0.000123896841722275 00001000
443016010 A 2 0.3356840157590351 -0.3879543074165691 0.1397093390699323 0.8469291573074225 0.0001399006212950959 00001000
443016015 A 2 0.3360885409525899 -0.3855543824483521 0.1387810818324303 0.8480165812887444 0.0001377510354488951 00001000
443016020 A 2 0.3360949571892143 -0.3834123713299434 0.1381598811276845 0.849085967679312 0.0001854724923398767 00001000
443016025 A 2 0.3365159564882286 -0.3809519572659785 0.1372198443452201 0.8501784116301156 0.0001029311408200745 00001000
443016030 A 4 0.3369404652629239 -0.3786254714541341 0.1362641949986756 0.8512026459051346 5.652331687983189e-05 00000000
443016035 A 4 0.3371331381726757 -0.375996174070849 0.1353859216841684 0.8524310977666502 7.018475228266596e-06 00000000
443016040 A 4 0.3374899281348077 -0.3736410546414378 0.1345296406465921 0.8534604188136061 5.818983080212307e-05 00000000
443016045 A 4 0.3376720839472289 -0.371323549862055 0.1337662637515284 0.8545191464926541 5.884019556844426e-05 00000000
443016050 A 4 0.3380756019986634 -0.3687297088630335 0.1327930275716878 0.8556338591730512 0.000109890881438296 00000000
443016055 A 4 0.3383244423867715 -0.3663717496514725 0.1320059206293973 0.8566695685384095 9.150975080564375e-05 00000000
443016060 A 4 0.3387611556014565 -0.3639241490947151 0.131078362606988 0.8576820833021549 8.133902231646583e-05 00000000
443016065 A 4 0.3391658548612809 -0.3615067579710026 0.1301753860028756 0.8586814052467389 0.0001078475845742278 00000000
443016070 A 4 0.3394189119436449 -0.3591855071451128 0.1293818809855362 0.8596748818853239 8.606607181994005e-05 00000000
443016075 A 4 0.3396829085556041 -0.3567388154966256 0.1285102143413117 0.860719503649836 0.0001379069910332774 00000000
443016080 A 4 0.340115948990003 -0.3542602128180425 0.1275575562499295 0.8617133587802216 5.450953836609016e-05 00000000
443016085 A 4 0.3404686152617594 -0.3517537322285463 0.1266071015003432 0.8627404451714957 9.736667657066619e-05 00000000
443016090 A 4 0.3407447327769866 -0.349388437996599 0.12576130313791 0.8637157177637164 4.852276248298067e-05 00000000
443016095 A 4 0.3410929408439617 -0.3469947994373767 0.1248443615513707 0.8646757197115361 5.514980501913499e-05 00000000
443016100 A 4 0.3413496550680801 -0.3444805475803767 0.1239325466328217 0.8657102801796511 7.97695055450834e-05 00000000
443016105 A 4 0.3415874580034849 -0.3422662783549509 0.1231392824034082 0.8666074776765677 7.105898909498773e-05 00000000
443016110 A 4 0.3419226704934825 -0.339702194715209 0.1221619745660227 0.8676218982243398 6.234164593285036e-05 00000000
443016115 A 4 0.3422534419239706 -0.3372405319695239 0.1212507398924399 0.8685791058755925 0.0001061589086107522 00000000
443016120 A 4 0.3425452469755663 -0.3347831138186443 0.12033936716369 0.8695409462394416 3.728006769392067e-05 00000000
443016125 A 4 0.3427555180066554 -0.3324749058777166 0.1195137498085658 0.8704570956941465 3.600567363700296e-05 00000000
443016130 A 4 0.3431769461632682 -0.3299172599787777 0.1184682380765435 0.8714065995602678 0.0002273050723766496 00000000
443016135 A 4 0.3435420550956605 -0.327381108941686 0.1174835657566475 0.8723520376922759 6.59323285731682e-05 00000000
443016140 A 4 0.3437033403290372 -0.3249497265659603 0.116642809555864 0.8733098785827885 9.136867097608438e-05 00000000
443016145 A 4 0.3438728584701484 -0.3224476341613586 0.1157290911823345 0.8742915748681462 3.738865359785394e-05 00000000
443016150 A 4 0.3443992157499476 -0.3200106062824416 0.1147257870060043 0.8751116419368552 0.0001158740838855919 00000000
443016155 A 4 0.3442712223233115 -0.3175733238009136 0.1139510145677068 0.876150486942194 0.0001059594969898715 10000000
443016160 A 4 0.3446163356638549 -0.315040641459028 0.112974620289473 0.8770551354351397 8.446822957108367e-05 10000000
443016165 A 4 0.3448497292412134 -0.3126525319197169 0.1121185245977147 0.8779273859314813 0.0001108666960454608 10000000
443016170 A 4 0.3451743719079002 -0.3102110441128291 0.1111935635858584 0.8787831089099816 0.0001430036832430376 00000000
443016175 A 4 0.3454222730973061 -0.3077674064087907 0.1103074362570297 0.8796561523158341 0.0002127558603387379 10000000
443016180 A 4 0.3457096980301633 -0.3052416996337342 0.1093723719437977 0.8805396037362488 8.279001159691977e-05 10000000
443016185 A 4 0.3460523622897535 -0.3028524970467467 0.108459066479551 0.8813425886025343 9.31616230479789e-05 10000000
443016190 A 4 0.3462078396205199 -0.300378794126184 0.1076142097745951 0.8822312019415216 3.612655726151288e-05 00000000
443016195 A 4 0.3464173140338933 -0.2977966534708355 0.1067193562607475 0.8831325929431018 3.329447801028515e-05 00000000
443016200 A 4 0.3466704735159792 -0.2952810791930623 0.1057977559130173 0.8839884059797148 0.0002804806185831758 10000000
443016205 A 4 0.3469996768020756 -0.292680872842782 0.1048399119072478 0.8848376822008222 0.0002754446485641878 10000000
443016210 A 4 0.3471278839423136 -0.2900825201936376 0.1039263701254811 0.8857503447701174 0.0001485083574437815 10000000
443016215 A 4 0.347458087221002 -0.2876574238485292 0.1029974975191046 0.8865199375278328 0.0001399496250657433 10000000
443016220 A 2 0.3481069441035095 -0.2850280226854999 0.1018786566185576 0.8872436649965489 0 10001000
443016225 A 4 0.3480350085774303 -0.2826939738533685 0.1011207396544924 0.8881049183307271 0 11000000
443016230 A 1 0.3480915843491811 -0.280132906636081 0.1001514465100393 0.889003650884992 6.421734527508532e-05 00001000
443016235 A 4 0.3484909635001593 -0.2776618647065487 0.09913426815818067 0.8897361036414982 7.342950185798573e-05 10000000
443016240 A 2 0.3484902679395446 -0.2753705349499702 0.0984204853782311 0.8905273772830935 0 10001000
443016245 A 4 0.348955699085116 -0.2727361850657584 0.09721154417930289 0.8912882861959255 0.000152159508508314 10000000
443016250 A 4 0.3491644449993911 -0.2702185160964461 0.09623728711494856 0.8920787680892627 0.0001190016621250113 10000000
443016255 A 4 0.3493547439421495 -0.2677891675020338 0.09526969791060738 0.8928403604865233 0.0001472248835780601 10000000
443016260 A 2 0.3498650835788206 -0.2650703158002672 0.09409673991271651 0.8935759366230327 0 10001000
443016265 A 2 0.3499905944944471 -0.262572753103346 0.09316852575319616 0.8943610897742191 0 10001000
443016270 A 2 0.3502053530899586 -0.2601354603028981 0.09216965520935899 0.8950924575811847 0 10001000
443016275 A 2 0.3503617949189684 -0.2578161400606801 0.09135963300794295 0.8957850568311712 0 10001000
443016280 A 2 0.3508121486021771 -0.2550121214015973 0.09005394441873003 0.8965433293633998 0 10001000
443016285 A 2 0.3508897010616691 -0.2526121995135208 0.08926472174166405 0.8972710314047683 0.0001518131146253912 00001000
443016290 A 4 0.350923237673387 -0.2501973441967378 0.08834178911799107 0.8980255556013753 0.0001198921470009973 01000000
443016295 A 4 0.3511069530886165 -0.2476714181941568 0.08735660924156738 0.8987500202638883 0.0001562080202939219 01000000
443016300 A 4 0.3516070665031669 -0.2450602297348763 0.08625031490988358 0.8993769164067273 3.293714415119597e-05 01000000
443016305 A 4 0.3516113133801964 -0.2426226994808783 0.08544562055596573 0.9001126351337765 0.0004125759784811921 01000000
443016310 A 2 0.351702397915671 -0.2402032883927203 0.08460417854873695 0.9008051601305269 0.0001500082098696465 00001000
443016315 A 4 0.3519239404939561 -0.2377617984321238 0.08364847865693026 0.9014553784474915 1.152702109450995e-05 00000000
443016320 A 4 0.3520738729424723 -0.2351616598060814 0.08273075494624767 0.9021632911699307 7.825110548081486e-05 01000000
443016325 A 2 0.3524328746623133 -0.232620057816755 0.081733646530102 0.9027727225517395 0 10001000
443016330 A 2 0.3525325722630716 -0.2301023471649901 0.08086152653351394 0.9034573088139884 0 10001000
443016335 A 2 0.3529982354392908 -0.2274178787108351 0.07978857428687725 0.9040504065773537 0.0002547368492931659 00001000
443016340 A 2 0.3530420614132891 -0.2250239545646163 0.07891584055804236 0.9047086894985449 0.0001329738145291175 00001000
443016345 A 2 0.3533789346538942 -0.222447017288031 0.07791035383263449 0.9053014027428714 4.450905481974913e-05 00001000
443016350 A 2 0.3532257497911392 -0.2200966175479069 0.07711265476540713 0.9060036904469481 8.779423110246282e-05 00001000
443016355 A 2 0.3535876039612518 -0.2174058788374107 0.07607201278424003 0.9065999884418865 0.000161326723320091 00001000
443016360 A 2 0.3538204200837888 -0.2148511287355149 0.07510914490790961 0.9071982799608965 0.0002433699927904725 00001000
443016365 A 2 0.3540973366154006 -0.2122344107864365 0.0740856817050991 0.9077901425143944 0.0001783702939364292 00001000
443016370 A 2 0.3540196475657021 -0.2099123063432083 0.07322387835375363 0.9084300613817037 2.145192683914449e-05 00001000
443016375 A 2 0.3541827565454739 -0.2073459803174403 0.0722553478384336 0.9090332139810935 9.910093292229791e-05 00001000
