PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipTIM1XF            : 23                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: tim1a2tim1b.c 1.12 03/13/12 22:29:12 rl0 $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : OBDH/IPU                                        
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015404.000000 (2014-01-14 23:50:04.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102994.000000 (2014-01-16 00:09:54.00)       
NUMBER OF DATA RECORDS        : 87591                                           
PRODUCT CREATE START TIME(UTC): 2014-01-16 04:32:30 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-16 04:32:30 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TIM1A<-TIM1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1A<-2014-01-16 04:30:48 by rl02              
INPUT FILE NAME               : ILG1A<-ILG1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : ILG1A<-2014-01-16 02:01:03 by rl02              
END OF HEADER                                                                   
443015404 B 7 443015404 0 35792 35792 00000000
443015405 B 3 443015405 0 35793 35793 00000000
443015406 B 3 443015406 0 35794 35794 00000000
443015407 B 3 443015407 0 35795 35795 00000000
443015408 B 3 443015408 0 35796 35796 00000000
443015409 B 3 443015409 0 35797 35797 00000000
443015410 B 3 443015410 0 35798 35798 00000000
443015411 B 3 443015411 0 35799 35799 00000000
443015412 B 3 443015412 0 35800 35800 00000000
443015413 B 3 443015413 0 35801 35801 00000000
443015414 B 7 443015414 0 35802 35802 00000000
443015415 B 3 443015415 0 35803 35803 00000000
443015416 B 3 443015416 0 35804 35804 00000000
443015417 B 3 443015417 0 35805 35805 00000000
443015418 B 3 443015418 0 35806 35806 00000000
443015419 B 3 443015419 0 35807 35807 00000000
443015420 B 3 443015420 0 35808 35808 00000000
443015421 B 3 443015421 0 35809 35809 00000000
443015422 B 3 443015422 0 35810 35810 00000000
443015423 B 3 443015423 0 35811 35811 00000000
443015424 B 7 443015424 0 35812 35812 00000000
443015425 B 3 443015425 0 35813 35813 00000000
443015426 B 3 443015426 0 35814 35814 00000000
443015427 B 3 443015427 0 35815 35815 00000000
443015428 B 3 443015428 0 35816 35816 00000000
443015429 B 3 443015429 0 35817 35817 00000000
443015430 B 3 443015430 0 35818 35818 00000000
443015431 B 3 443015431 0 35819 35819 00000000
443015432 B 3 443015432 0 35820 35820 00000000
443015433 B 3 443015433 0 35821 35821 00000000
443015434 B 7 443015434 0 35822 35822 00000000
443015435 B 3 443015435 0 35823 35823 00000000
443015436 B 3 443015436 0 35824 35824 00000000
443015437 B 3 443015437 0 35825 35825 00000000
443015438 B 3 443015438 0 35826 35826 00000000
443015439 B 3 443015439 0 35827 35827 00000000
443015440 B 3 443015440 0 35827 35828 00000010
443015441 B 3 443015441 0 35829 35829 00000000
443015442 B 3 443015442 0 35830 35830 00000000
443015443 B 3 443015443 0 35831 35831 00000000
443015444 B 7 443015444 0 35832 35832 00000000
443015445 B 3 443015445 0 35833 35833 00000000
443015446 B 3 443015446 0 35834 35834 00000000
443015447 B 3 443015447 0 35835 35835 00000000
443015448 B 3 443015448 0 35836 35836 00000000
443015449 B 3 443015449 0 35837 35837 00000000
443015450 B 3 443015450 0 35838 35838 00000000
443015451 B 3 443015451 0 35839 35839 00000000
443015452 B 3 443015452 0 35840 35840 00000000
443015453 B 3 443015453 0 35841 35841 00000000
443015454 B 7 443015454 0 35842 35842 00000000
443015455 B 3 443015455 0 35843 35843 00000000
443015456 B 3 443015456 0 35844 35844 00000000
443015457 B 3 443015457 0 35845 35845 00000000
443015458 B 3 443015458 0 35846 35846 00000000
443015459 B 3 443015459 0 35847 35847 00000000
443015460 B 3 443015460 0 35848 35848 00000000
443015461 B 3 443015461 0 35849 35849 00000000
443015462 B 3 443015462 0 35850 35850 00000000
443015463 B 3 443015463 0 35851 35851 00000000
443015464 B 7 443015464 0 35852 35852 00000000
443015465 B 3 443015465 0 35853 35853 00000000
443015466 B 3 443015466 0 35854 35854 00000000
443015467 B 3 443015467 0 35855 35855 00000000
443015468 B 3 443015468 0 35856 35856 00000000
443015469 B 3 443015469 0 35857 35857 00000000
443015470 B 3 443015470 0 35858 35858 00000000
443015471 B 3 443015471 0 35859 35859 00000000
443015472 B 3 443015472 0 35860 35860 00000000
443015473 B 3 443015473 0 35861 35861 00000000
443015474 B 7 443015474 0 35862 35862 00000000
443015475 B 3 443015475 0 35863 35863 00000000
443015476 B 3 443015476 0 35864 35864 00000000
443015477 B 3 443015477 0 35865 35865 00000000
443015478 B 3 443015478 0 35866 35866 00000000
443015479 B 3 443015479 0 35867 35867 00000000
443015480 B 3 443015480 0 35868 35868 00000000
443015481 B 3 443015481 0 35869 35869 00000000
443015482 B 3 443015482 0 35870 35870 00000000
443015483 B 3 443015483 0 35871 35871 00000000
443015484 B 7 443015484 0 35872 35872 00000000
443015485 B 3 443015485 0 35873 35873 00000000
443015486 B 3 443015486 0 35874 35874 00000000
443015487 B 3 443015487 0 35875 35875 00000000
443015488 B 3 443015488 0 35876 35876 00000000
443015489 B 3 443015489 0 35877 35877 00000000
443015490 B 3 443015490 0 35878 35878 00000000
443015491 B 3 443015491 0 35879 35879 00000000
443015492 B 3 443015492 0 35880 35880 00000000
443015493 B 3 443015493 0 35881 35881 00000000
443015494 B 7 443015494 0 35882 35882 00000000
443015495 B 3 443015495 0 35883 35883 00000000
443015496 B 3 443015496 0 35884 35884 00000000
443015497 B 3 443015497 0 35885 35885 00000000
443015498 B 3 443015498 0 35886 35886 00000000
443015499 B 3 443015499 0 35887 35887 00000000
443015500 B 3 443015500 0 35888 35888 00000000
443015501 B 3 443015501 0 35889 35889 00000000
443015502 B 3 443015502 0 35890 35890 00000000
443015503 B 3 443015503 0 35891 35891 00000000
443015504 B 7 443015504 0 35892 35892 00000000
443015505 B 3 443015505 0 35893 35893 00000000
443015506 B 3 443015506 0 35894 35894 00000000
443015507 B 3 443015507 0 35895 35895 00000000
443015508 B 3 443015508 0 35896 35896 00000000
443015509 B 3 443015509 0 35897 35897 00000000
443015510 B 3 443015510 0 35898 35898 00000000
443015511 B 3 443015511 0 35899 35899 00000000
443015512 B 3 443015512 0 35900 35900 00000000
443015513 B 3 443015513 0 35901 35901 00000000
443015514 B 7 443015514 0 35902 35902 00000000
443015515 B 3 443015515 0 35903 35903 00000000
443015516 B 3 443015516 0 35904 35904 00000000
443015517 B 3 443015517 0 35905 35905 00000000
443015518 B 3 443015518 0 35906 35906 00000000
443015519 B 3 443015519 0 35907 35907 00000000
443015520 B 3 443015520 0 35908 35908 00000000
443015521 B 3 443015521 0 35909 35909 00000000
443015522 B 3 443015522 0 35910 35910 00000000
443015523 B 3 443015523 0 35911 35911 00000000
443015524 B 7 443015524 0 35912 35912 00000000
443015525 B 3 443015525 0 35913 35913 00000000
443015526 B 3 443015526 0 35914 35914 00000000
443015527 B 3 443015527 0 35915 35915 00000000
443015528 B 3 443015528 0 35916 35916 00000000
443015529 B 3 443015529 0 35917 35917 00000000
443015530 B 3 443015530 0 35918 35918 00000000
443015531 B 3 443015531 0 35919 35919 00000000
443015532 B 3 443015532 0 35920 35920 00000000
443015533 B 3 443015533 0 35921 35921 00000000
443015534 B 7 443015534 0 35922 35922 00000000
443015535 B 3 443015535 0 35923 35923 00000000
443015536 B 3 443015536 0 35924 35924 00000000
443015537 B 3 443015537 0 35925 35925 00000000
443015538 B 3 443015538 0 35926 35926 00000000
443015539 B 3 443015539 0 35927 35927 00000000
