PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679700.000000 (2016-02-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766700.000000 (2016-02-15 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:44:31 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:44:31 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-15 17:28:42 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-16 03:24:03 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-17 17:33:40 by rl02              
END OF HEADER                                                                   
508679700 A 3 -0.3918212394922377 9.333123383644295e-11 -1.571009960505784e-07 2.051449372990781e-11  00000010
508679700 A 3 -0.3918212394922377 9.333123383644295e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508680000 A 3 -0.3918683722692404 9.34646594745222e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508680300 A 3 -0.3919155050762421 9.309773896980424e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508680600 A 3 -0.3919626377903386 9.306438256028442e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508680900 A 3 -0.3920097703581749 9.306438256028442e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508681200 A 3 -0.3920569027058768 9.283088769364572e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508681500 A 3 -0.3921040347211987 9.219711591276923e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508681800 A 3 -0.3921511662400595 9.21304030937296e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508682100 A 3 -0.3921982975216091 9.156334413189274e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508682400 A 3 -0.3922454289812769 9.116306721765497e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508682700 A 3 -0.3922925604796575 9.032915697965959e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508683000 A 3 -0.3923396917911932 8.996223647494161e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508683300 A 3 -0.3923868232935332 9.066272107485774e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508683600 A 3 -0.3924339547284769 8.92617518750255e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508683900 A 3 -0.3924810861648858 8.936182110358493e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508684200 A 3 -0.3925282174820388 8.892818777982734e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508684500 A 3 -0.3925753490008037 8.92617518750255e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508684800 A 3 -0.3926224807673095 8.912832623694623e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508685100 A 3 -0.392669612846466 8.94952467416642e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508685400 A 3 -0.3927167453067179 8.892818777982734e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508685700 A 3 -0.392763877845149 8.879476214174808e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508686000 A 3 -0.3928110101672689 8.872804932270844e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508686300 A 3 -0.3928581427418283 8.879476214174808e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508686600 A 3 -0.3929052750710464 8.859462368462919e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508686900 A 3 -0.392952407011635 8.846119804654993e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508687200 A 3 -0.3929995383639511 8.84278416370301e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508687500 A 3 -0.3930466694947239 8.79608519037527e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508687800 A 3 -0.393093800533893 8.776071344663381e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508688100 A 3 -0.3931409316918787 8.70935852562375e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508688400 A 3 -0.3931880629537066 8.726036730383659e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508688700 A 3 -0.3932351941935377 8.692680320863843e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508689000 A 3 -0.3932823251790054 8.699351602767806e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508689300 A 3 -0.3933294560118159 8.70935852562375e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
