PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508680006.986851 (2016-02-14 00:00: 6.98)       
TIME LAST OBS(SEC PAST EPOCH) : 508766392.685666 (2016-02-14 23:59:52.68)       
NUMBER OF DATA RECORDS        : 2499                                            
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:52:59 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:53:00 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2016-02-15 17:30:07 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2016-02-15 05:31:31 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2016-02-26 02:50:54 by rl02              
END OF HEADER                                                                   
508680006 986851 G B  00000000 11001100 462.6775862533999 0 3.500307127512734 3.930879125887171
508680066 986851 G B  00000000 11001100 462.7011440533583 0 3.526375512667799 3.928368540690526
508680126 986850 G B  00000000 11001100 462.6795448654225 0 3.500307127512734 3.932837737909733
508680186 986849 G B  00000000 11001100 462.6767971359941 0 3.502028595303575 3.928368540690526
508680245 686848 G B  00000000 00110011 462.6570523211928 0.2 3.543197349312718 3.86745497188007
508680246 986848 G B  00000000 11001100 462.7050592482998 0 3.526375512667799 3.932283735631992
508680252 686848 G B  00000000 00110011 462.6570679559781 1.048610513044058 3.543205799739274 3.86746215623882
508680306 986847 G B  00000000 11001100 462.6989326635099 0 3.524164122819425 3.928368540690526
508680361 686847 G B  00000000 00110011 462.657083590772 1.048610938090224 3.543214250170448 3.867469340601543
508680366 986846 G B  00000000 11001100 462.6770330454732 0 3.500307127512734 3.930325917960446
508680426 986846 G B  00000000 11001100 462.7008900407799 0 3.524164122819425 3.930325917960446
508680486 986845 G B  00000000 11001100 462.7034018607292 0 3.524164122819425 3.932837737909733
508680546 986844 G B  00000000 11001100 462.7008900407799 0 3.524164122819425 3.930325917960446
508680606 986843 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508680666 986842 G B  00000000 11001100 462.7011440533583 0 3.526375512667799 3.928368540690526
508680726 986842 G B  00000000 11001100 462.7014432487066 0 3.524164122819425 3.930879125887171
508680786 986841 G B  00000000 11001100 462.7014432487066 0 3.524164122819425 3.930879125887171
508680846 986840 G B  00000000 11001100 462.703654638555 0 3.526375512667799 3.930879125887171
508680906 986839 G B  00000000 11001100 462.7014432487066 0 3.524164122819425 3.930879125887171
508680966 986838 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508681026 986837 G B  00000000 11001100 462.7034018607292 0 3.524164122819425 3.932837737909733
508681086 986837 G B  00000000 11001100 462.6989326635099 0 3.524164122819425 3.928368540690526
508681146 986836 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508681149 686836 G B  00000000 00110011 462.6570627217001 1.048385549824806 3.543203108910741 3.86745961278936
508681152 686836 G B  00000000 00110011 462.6570540725334 5.624988205174623 3.543198460848326 3.867455611685113
508681165 686836 G B  00000000 00110011 462.6570497479491 2.912495466940606 3.54319613681651 3.867453611132596
508681171 686835 G B  00000000 00110011 462.6570454233641 2.912496831293901 3.543193812784289 3.867451610579816
508681176 686835 G B  00000000 00110011 462.6570410987784 2.912498195647196 3.543191488751665 3.867449610026775
508681186 686835 G B  00000000 00110011 462.6570324496051 5.625001848707574 3.5431868406852 3.867445608919907
508681201 686835 G B  00000000 00110011 462.6570281250175 2.912502288707082 3.543184516651361 3.867443608366079
508681202 686835 G B  00000000 00110011 462.6570238004291 2.912503653060377 3.543182192617117 3.867441607811989
508681206 986835 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508681216 686835 G B  00000000 00110011 462.6570194758401 2.912505017413672 3.543179868582468 3.867439607257638
508681220 686835 G B  00000000 00110011 462.6570151512504 2.912506381766967 3.543177544547415 3.867437606703025
508681227 686835 G B  00000000 00110011 462.6570108266601 2.912507746120261 3.543175220511957 3.867435606148149
508681240 686834 G B  00000000 00110011 462.6570065020691 2.912509110473557 3.543172896476094 3.867433605593011
508681241 686834 G B  00000000 00110011 462.6570021774774 2.912510474826852 3.543170572439827 3.867431605037611
508681258 686834 G B  00000000 00110011 462.6569978528851 2.912511839180147 3.543168248403154 3.867429604481949
508681266 986834 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508681269 686834 G B  00000000 00110011 462.6569935282921 2.912513203533442 3.543165924366077 3.867427603926024
508681276 686834 G B  00000000 00110011 462.6569892036984 2.912514567886737 3.543163600328595 3.867425603369839
508681297 686834 G B  00000000 00110011 462.6569848791041 2.912515932240032 3.543161276290708 3.867423602813389
508681327 686833 G B  00000000 11111111 462.6569805545091 2.912517296593327 462.7031781479589 0 3.543158952252417 3.867421602256679 3.525899022071684 3.930879125887171
508681386 986832 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508681446 986832 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508681506 986831 G B  00000000 11001100 462.7031781479589 0 3.525899022071684 3.930879125887171
508681566 986830 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508681626 986829 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508681686 986828 G B  00000000 11001100 462.7043601717913 0 3.527634253830867 3.930325917960446
508681746 986828 G B  00000000 11001100 462.6804763080483 0 3.503750390087875 3.930325917960446
508681806 986827 G B  00000000 11001100 462.7021487979418 0 3.525422879981408 3.930325917960446
508681866 986826 G B  00000000 11001100 462.7021487979418 0 3.525422879981408 3.930325917960446
508681926 986825 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508681986 986824 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682046 986823 G B  00000000 11001100 462.7043601717913 0 3.527634253830867 3.930325917960446
508682106 986823 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682166 986822 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682226 986821 G B  00000000 11001100 462.7045827577037 0 3.525899022071684 3.932283735631992
508682286 986820 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682346 986819 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682406 986818 G B  00000000 11001100 462.7045827577037 0 3.525899022071684 3.932283735631992
508682466 986818 G B  00000000 11001100 462.678754513264 0 3.502028595303575 3.930325917960446
508682478 686817 G B  00000000 00110011 462.6569596854275 1.048385975477013 3.543147810987504 3.867411874439993
508682481 686817 G B  00000000 00110011 462.6569388163362 1.048386401129219 3.543136669717386 3.86740214661881
508682508 686817 G B  00000000 00110011 462.6569179472352 1.048386826781426 3.543125528442066 3.867392418793124
508682522 686817 G B  00000000 00110011 462.6568970781245 1.048387252433634 3.543114387161542 3.867382690962936
508682526 986817 G B  00000000 11001100 462.7026249400321 0 3.525899022071684 3.930325917960446
508682529 686817 G B  00000000 00110011 462.6568762090041 1.04838767808584 3.543103245875816 3.867372963128247
508682541 686817 G B  00000000 00110011 462.6568344707341 1.896777058780509 3.543080963288749 3.867353507445366
508682553 686816 G B  00000000 00110011 462.6568136015846 1.048388955042461 3.54306982198741 3.867343779597173
