PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipSCA1BF            : 6                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: SCA_compress.c 1.112 06/11/09 17:36:18 g $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:20 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 4                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508680000.000000 (2016-02-14 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766395.000000 (2016-02-14 23:59:55.00)       
NUMBER OF DATA RECORDS        : 17279                                           
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:53:00 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:53:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : SCA1A<-SCA1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : SCA1A<-2016-02-15 05:29:37 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2016-02-26 02:50:54 by rl02              
END OF HEADER                                                                   
508680000 B 4 -0.03239226844667543 -0.9597617267305368 -0.2665171506677374 0.08232118347088847 2.28531832840368e-05 00000000
508680005 B 4 -0.03156887164052202 -0.9599504951714933 -0.2667904596249867 0.07950662750008951 2.467442058606638e-05 00000000
508680010 B 4 -0.03081407413938796 -0.9601601897896384 -0.2669083603788645 0.07682987659709027 5.29137551922693e-05 00000000
508680015 B 4 -0.03005698797260226 -0.9603810145470776 -0.2669568690817151 0.07415466554188489 2.531059284775447e-05 00000000
508680020 B 4 -0.02921639873583975 -0.960508114272416 -0.2673303543029288 0.0714496055274344 6.698875415041555e-05 01000000
508680025 B 4 -0.02843422551665157 -0.9607282209192303 -0.267372307837501 0.06859175861783623 2.328917367548355e-05 00000000
508680030 B 4 -0.02763946190386585 -0.960915672298254 -0.267476978950367 0.06582702035520474 1.890725686084242e-05 00000000
508680035 B 4 -0.02685491990058793 -0.9610622614815814 -0.2676956469552732 0.063064914447249 5.848256421873634e-05 00000000
508680040 B 4 -0.02611310175270489 -0.9612547778787425 -0.2676837457452957 0.06043815174134778 9.356855017247567e-05 00000000
508680045 B 4 -0.02530745139461798 -0.9614066937353414 -0.2678326713115728 0.0576399368744904 5.662403317713464e-05 00000000
508680050 B 4 -0.0245185592853086 -0.9615339811825265 -0.2680315376183328 0.05486654831321177 6.078895729187052e-05 00000000
508680055 B 4 -0.0237302319392519 -0.9616784513778589 -0.2681286762809001 0.05213871117935778 7.529522358500342e-05 00000000
508680060 B 4 -0.02294472712645043 -0.9618067056266737 -0.2682643762614295 0.04935205099814863 7.771335419132387e-05 00000000
508680065 B 4 -0.02215477298144824 -0.9619129418140175 -0.2684429871319621 0.04659421707156905 3.781450959633188e-05 00000000
508680070 B 4 -0.02137720868677789 -0.9620343310566827 -0.268528959302849 0.04387663196750561 4.160657372316854e-05 00000000
508680075 B 4 -0.02059025615085445 -0.9621254957991656 -0.268699378711278 0.04112439136358434 5.492515653040098e-05 00000000
508680080 B 4 -0.01980434665103469 -0.9622269550314523 -0.2688018834705742 0.03837476133211434 4.283862841461625e-05 00000000
508680085 B 4 -0.01901840489346385 -0.9623045578705131 -0.2689420750753707 0.035754698028346 3.650713944460068e-05 01000000
508680090 B 4 -0.01822048612277341 -0.9623986993101467 -0.2690298215890797 0.03285897970624582 3.752266221707032e-05 00000000
508680095 B 4 -0.01744693567167315 -0.9624635239950379 -0.2691652358883762 0.0301603249962036 5.490356958156024e-05 00000000
508680100 B 4 -0.01664124028642677 -0.9625122426990451 -0.2693404177795038 0.02736770225185792 5.615357924647229e-05 00000000
508680105 B 4 -0.01586579715794011 -0.9625876568623855 -0.2693825744939145 0.02462332016110508 1.796212459887026e-05 00000000
508680110 B 4 -0.01509509910495736 -0.962625349999881 -0.2695248336628875 0.02193028863491277 3.973333327991908e-05 00000000
508680115 B 4 -0.01430243382052715 -0.9626653626420814 -0.2696341390924609 0.01919038800720256 6.458093343605752e-05 00000000
508680120 B 4 -0.01351510337730569 -0.9626869380058107 -0.2697801909542617 0.01642710998256244 7.508898973575907e-05 00000000
508680125 B 4 -0.01274608449260388 -0.9627180623082221 -0.269856711456944 0.01374136518883863 3.22788894029109e-05 00000000
508680130 B 4 -0.01198143759787019 -0.9627370338243588 -0.2699457832447025 0.01109607879242522 2.641836844033738e-05 00000000
508680135 B 4 -0.01118393835371954 -0.9627410652449225 -0.2700675656954167 0.008250501398306777 4.095997869919411e-05 00000000
508680140 B 4 -0.01042877752528705 -0.9627642169001721 -0.2700834954296856 0.005586479428899374 4.27493782554947e-05 00000000
508680145 B 4 -0.009642296542891005 -0.9627578588513366 -0.2701784598235688 0.002816235915803374 3.150324586779567e-05 00000000
508680150 B 4 -0.008874731615881433 -0.9627351343720465 -0.2703003677036802 0.0001067878217800325 5.618367902111757e-05 00000000
508680155 B 4 -0.008079874776119614 -0.9627105422440002 -0.2703996347026296 -0.002676757095755493 8.05232583626656e-05 00000000
508680160 B 4 -0.007304639274069749 -0.962674924289274 -0.2705081582260707 -0.005382260013721107 7.60179589088387e-05 00000000
508680165 B 4 -0.006544514739162438 -0.9626290842802014 -0.2706239368838003 -0.008068470127761344 2.171930185391037e-05 00000000
508680170 B 4 -0.005793318882847957 -0.962613168293329 -0.2706057700148789 -0.01071647886458862 3.131956369242702e-05 00000000
508680175 B 4 -0.005008583276909117 -0.9625606791911865 -0.2706852712029014 -0.01346613984675453 5.561245051698728e-05 00000000
508680180 B 4 -0.004227207513433546 -0.9625062680626669 -0.2707449129520171 -0.01615570386336389 4.858017631890509e-05 00000000
508680185 B 4 -0.00344652231030083 -0.9624400800064818 -0.2708126864875188 -0.01891303038897538 5.676532743167524e-05 00000000
508680190 B 4 -0.002638861264674614 -0.9623561930052582 -0.2709053024685409 -0.02176950367097131 5.071117804313006e-05 00000000
508680195 B 4 -0.001924911701116093 -0.9622864449326864 -0.2709412772289501 -0.02432934251680115 3.233146404309028e-05 00000000
508680200 B 4 -0.001131246858362419 -0.9621858304048606 -0.271038537358551 -0.02711566549416363 6.065501271245738e-05 00000000
508680205 B 4 -0.0003672935077547409 -0.9621142696001385 -0.2710151980476655 -0.02977851162257713 2.460800237399964e-05 00000000
508680210 B 4 0.0004212439588592613 -0.9620117847193277 -0.271066642568484 -0.03249652137246059 3.981128541989882e-05 00000000
508680215 B 4 0.001162402739560462 -0.9619013640074477 -0.2711228401667651 -0.03516845575781922 6.172353453702076e-05 00000000
508680220 B 4 0.001962995762953415 -0.9617673860706651 -0.2712141760024908 -0.03798042224258107 6.470791748288229e-05 00000000
508680225 B 4 0.002742488753855743 -0.9616672228190871 -0.2711713402051962 -0.04067844099983303 3.922097451214534e-05 00000000
508680230 B 4 0.003528393246463691 -0.9614980866468569 -0.2713272663384014 -0.04347981551090135 4.190261279367426e-05 00000000
508680235 B 4 0.004299445531531532 -0.9613660063262724 -0.2713380938507666 -0.04617960019129581 5.292689928442057e-05 00000000
508680240 B 4 0.005055199428586789 -0.9612168948894724 -0.271380936220096 -0.04887651168078588 6.139610567894057e-05 00000000
508680245 B 1 0.005855206922713133 -0.9610528256739563 -0.2713944008332169 -0.05184845236239442 0.0001005814605276878 00001000
508680250 B 4 0.006603954884157009 -0.9608922228140968 -0.2714611909775047 -0.0543262892930015 1.808892997454981e-05 00000000
