PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipTIM1XF            : 23                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: tim1a2tim1b.c 1.12 03/13/12 22:29:12 rl0 $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : OBDH/IPU                                        
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679404.000000 (2016-02-13 23:50:04.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766994.000000 (2016-02-15 00:09:54.00)       
NUMBER OF DATA RECORDS        : 87591                                           
PRODUCT CREATE START TIME(UTC): 2016-02-15 05:29:24 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-15 05:29:24 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TIM1A<-TIM1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1A<-2016-02-15 05:27:43 by rl02              
INPUT FILE NAME               : ILG1A<-ILG1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : ILG1A<-2016-02-15 05:27:41 by rl02              
END OF HEADER                                                                   
508679404 A 7 508679404 0 495 495 00000000
508679405 A 3 508679405 0 496 496 00000000
508679406 A 3 508679406 0 497 497 00000000
508679407 A 3 508679407 0 498 498 00000000
508679408 A 3 508679408 0 499 499 00000000
508679409 A 3 508679409 0 500 500 00000000
508679410 A 3 508679410 0 501 501 00000000
508679411 A 3 508679411 0 502 502 00000000
508679412 A 3 508679412 0 503 503 00000000
508679413 A 3 508679413 0 504 504 00000000
508679414 A 7 508679414 0 505 505 00000000
508679415 A 3 508679415 0 506 506 00000000
508679416 A 3 508679416 0 507 507 00000000
508679417 A 3 508679417 0 508 508 00000000
508679418 A 3 508679418 0 509 509 00000000
508679419 A 3 508679419 0 510 510 00000000
508679420 A 3 508679420 0 511 511 00000000
508679421 A 3 508679421 0 512 512 00000000
508679422 A 3 508679422 0 513 513 00000000
508679423 A 3 508679423 0 514 514 00000000
508679424 A 7 508679424 0 515 515 00000000
508679425 A 3 508679425 0 516 516 00000000
508679426 A 3 508679426 0 517 517 00000000
508679427 A 3 508679427 0 518 518 00000000
508679428 A 3 508679428 0 519 519 00000000
508679429 A 3 508679429 0 520 520 00000000
508679430 A 3 508679430 0 521 521 00000000
508679431 A 3 508679431 0 522 522 00000000
508679432 A 3 508679432 0 523 523 00000000
508679433 A 3 508679433 0 524 524 00000000
508679434 A 7 508679434 0 525 525 00000000
508679435 A 3 508679435 0 526 526 00000000
508679436 A 3 508679436 0 527 527 00000000
508679437 A 3 508679437 0 528 528 00000000
508679438 A 3 508679438 0 529 529 00000000
508679439 A 3 508679439 0 530 530 00000000
508679440 A 3 508679440 0 531 531 00000000
508679441 A 3 508679441 0 532 532 00000000
508679442 A 3 508679442 0 533 533 00000000
508679443 A 3 508679443 0 534 534 00000000
508679444 A 7 508679444 0 535 535 00000000
508679445 A 3 508679445 0 536 536 00000000
508679446 A 3 508679446 0 537 537 00000000
508679447 A 3 508679447 0 538 538 00000000
508679448 A 3 508679448 0 539 539 00000000
508679449 A 3 508679449 0 540 540 00000000
508679450 A 3 508679450 0 541 541 00000000
508679451 A 3 508679451 0 542 542 00000000
508679452 A 3 508679452 0 543 543 00000000
508679453 A 3 508679453 0 544 544 00000000
508679454 A 7 508679454 0 545 545 00000000
508679455 A 3 508679455 0 546 546 00000000
508679456 A 3 508679456 0 547 547 00000000
508679457 A 3 508679457 0 548 548 00000000
508679458 A 3 508679458 0 549 549 00000000
508679459 A 3 508679459 0 550 550 00000000
508679460 A 3 508679460 0 551 551 00000000
508679461 A 3 508679461 0 552 552 00000000
508679462 A 3 508679462 0 553 553 00000000
508679463 A 3 508679463 0 554 554 00000000
508679464 A 7 508679464 0 555 555 00000000
508679465 A 3 508679465 0 556 556 00000000
508679466 A 3 508679466 0 557 557 00000000
508679467 A 3 508679467 0 558 558 00000000
508679468 A 3 508679468 0 559 559 00000000
508679469 A 3 508679469 0 560 560 00000000
508679470 A 3 508679470 0 561 561 00000000
508679471 A 3 508679471 0 562 562 00000000
508679472 A 3 508679472 0 563 563 00000000
508679473 A 3 508679473 0 564 564 00000000
508679474 A 7 508679474 0 565 565 00000000
508679475 A 3 508679475 0 566 566 00000000
508679476 A 3 508679476 0 567 567 00000000
508679477 A 3 508679477 0 568 568 00000000
508679478 A 3 508679478 0 569 569 00000000
508679479 A 3 508679479 0 570 570 00000000
508679480 A 3 508679480 0 571 571 00000000
508679481 A 3 508679481 0 572 572 00000000
508679482 A 3 508679482 0 573 573 00000000
508679483 A 3 508679483 0 574 574 00000000
508679484 A 7 508679484 0 575 575 00000000
508679485 A 3 508679485 0 576 576 00000000
508679486 A 3 508679486 0 577 577 00000000
508679487 A 3 508679487 0 578 578 00000000
508679488 A 3 508679488 0 579 579 00000000
508679489 A 3 508679489 0 580 580 00000000
508679490 A 3 508679490 0 581 581 00000000
508679491 A 3 508679491 0 582 582 00000000
508679492 A 3 508679492 0 583 583 00000000
508679493 A 3 508679493 0 584 584 00000000
508679494 A 7 508679494 0 585 585 00000000
508679495 A 3 508679495 0 586 586 00000000
508679496 A 3 508679496 0 587 587 00000000
508679497 A 3 508679497 0 588 588 00000000
508679498 A 3 508679498 0 589 589 00000000
508679499 A 3 508679499 0 590 590 00000000
508679500 A 3 508679500 0 591 591 00000000
508679501 A 3 508679501 0 592 592 00000000
508679502 A 3 508679502 0 593 593 00000000
508679503 A 3 508679503 0 594 594 00000000
508679504 A 7 508679504 0 595 595 00000000
508679505 A 3 508679505 0 596 596 00000000
508679506 A 3 508679506 0 597 597 00000000
508679507 A 3 508679507 0 598 598 00000000
508679508 A 3 508679508 0 598 599 00000010
508679509 A 3 508679509 0 600 600 00000000
508679510 A 3 508679510 0 601 601 00000000
508679511 A 3 508679511 0 602 602 00000000
508679512 A 3 508679512 0 603 603 00000000
508679513 A 3 508679513 0 604 604 00000000
508679514 A 7 508679514 0 605 605 00000000
508679515 A 3 508679515 0 606 606 00000000
508679516 A 3 508679516 0 607 607 00000000
508679517 A 3 508679517 0 608 608 00000000
508679518 A 3 508679518 0 609 609 00000000
508679519 A 3 508679519 0 610 610 00000000
508679520 A 3 508679520 0 611 611 00000000
508679521 A 3 508679521 0 612 612 00000000
508679522 A 3 508679522 0 613 613 00000000
508679523 A 3 508679523 0 614 614 00000000
508679524 A 7 508679524 0 615 615 00000000
508679525 A 3 508679525 0 616 616 00000000
508679526 A 3 508679526 0 617 617 00000000
508679527 A 3 508679527 0 618 618 00000000
508679528 A 3 508679528 0 619 619 00000000
508679529 A 3 508679529 0 620 620 00000000
508679530 A 3 508679530 0 621 621 00000000
508679531 A 3 508679531 0 622 622 00000000
508679532 A 3 508679532 0 623 623 00000000
508679533 A 3 508679533 0 624 624 00000000
508679534 A 7 508679534 0 625 625 00000000
508679535 A 3 508679535 0 626 626 00000000
508679536 A 3 508679536 0 627 627 00000000
508679537 A 3 508679537 0 628 628 00000000
508679538 A 3 508679538 0 629 629 00000000
508679539 A 3 508679539 0 630 630 00000000
508679540 A 3 508679540 0 631 631 00000000
508679541 A 3 508679541 0 632 632 00000000
508679542 A 3 508679542 0 633 633 00000000
508679543 A 3 508679543 0 634 634 00000000
508679544 A 7 508679544 0 635 635 00000000
508679545 A 3 508679545 0 636 636 00000000
508679546 A 3 508679546 0 637 637 00000000
508679547 A 3 508679547 0 638 638 00000000
508679548 A 3 508679548 0 639 639 00000000
508679549 A 3 508679549 0 640 640 00000000
508679550 A 3 508679550 0 641 641 00000000
508679551 A 3 508679551 0 642 642 00000000
508679552 A 3 508679552 0 643 643 00000000
508679553 A 3 508679553 0 644 644 00000000
508679554 A 7 508679554 0 645 645 00000000
508679555 A 3 508679555 0 646 646 00000000
508679556 A 3 508679556 0 647 647 00000000
508679557 A 3 508679557 0 648 648 00000000
508679558 A 3 508679558 0 649 649 00000000
